model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
raw100,5000,0.001,0.9994805844224834,5268,0,27,18650,0.9949008498583569,0.0,1.0,0.9974439079806875
raw100,5000,0.01,0.9994805844224834,5268,0,27,18650,0.9949008498583569,0.0,1.0,0.9974439079806872
raw100,5000,0.1,0.9994805844224834,5268,0,27,18650,0.9949008498583569,0.0,1.0,0.9974439079806873
raw100,5500,0.001,0.9994805844224834,5264,1,27,18651,0.9948969948969949,5.36135535063264e-05,0.9489154602611387,0.9713623732782423
raw100,5500,0.01,0.9994805844224834,5264,1,27,18651,0.9948969948969949,5.36135535063264e-05,0.9946933446699427,0.9947951593608673
raw100,5500,0.1,0.9994805844224834,5264,1,27,18651,0.9948969948969949,5.36135535063264e-05,0.9995152381846573,0.9972007695592167
raw100,6000,0.001,0.9994805844224834,5288,2,27,18650,0.9949200376293509,0.0001072271070126528,0.9027985482184323,0.9466233531816735
raw100,6000,0.01,0.9994805844224834,5288,2,27,18650,0.9949200376293509,0.0001072271070126528,0.9894429551515644,0.9921739376845713
raw100,6000,0.1,0.9994805844224834,5288,2,27,18650,0.9949200376293509,0.0001072271070126528,0.9990309685515414,0.9969712653351066
raw100,6500,0.001,0.9994805844224834,5297,0,26,18649,0.9951155363516814,0.0,1.0,0.9975517890772128
raw100,6500,0.01,0.9994805844224834,5297,0,26,18649,0.9951155363516814,0.0,1.0,0.9975517890772126
raw100,6500,0.1,0.9994805844224834,5297,0,26,18649,0.9951155363516814,0.0,1.0,0.9975517890772128
raw100,7000,0.001,0.9994805844224834,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9489725568426589,0.9717477914704702
raw100,7000,0.01,0.9994805844224834,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9946995616543239,0.9951711142874436
raw100,7000,0.1,0.9994805844224834,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9995158088546536,0.9975757030018078
raw100,7500,0.001,0.9994805844224834,5261,1,22,18646,0.9958356994132121,5.362792942564488e-05,0.9489481694954393,0.9718267198572343
raw100,7500,0.01,0.9994805844224834,5261,1,22,18646,0.9958356994132121,5.362792942564488e-05,0.9946969063101763,0.9952659771072383
raw100,7500,0.1,0.9994805844224834,5261,1,22,18646,0.9958356994132121,5.362792942564488e-05,0.9995155651158549,0.9976722390244986
raw100,8000,0.001,0.9994805844224834,5271,0,21,18651,0.996031746031746,0.0,1.0,0.9980119284294234
raw100,8000,0.01,0.9994805844224834,5271,0,21,18651,0.996031746031746,0.0,1.0,0.9980119284294235
raw100,8000,0.1,0.9994805844224834,5271,0,21,18651,0.996031746031746,0.0,1.0,0.9980119284294234
raw100,8500,0.001,0.9994805844224834,5313,0,22,18654,0.9958762886597938,0.0,1.0,0.9979338842975208
raw100,8500,0.01,0.9994805844224834,5313,0,22,18654,0.9958762886597938,0.0,1.0,0.9979338842975207
raw100,8500,0.1,0.9994805844224834,5313,0,22,18654,0.9958762886597938,0.0,1.0,0.9979338842975206
raw100,9000,0.001,0.9994805844224834,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
raw100,9000,0.01,0.9994805844224834,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
raw100,9000,0.1,0.9994805844224834,5332,0,26,18654,0.9951474430757745,0.0,1.0,0.9975678203928905
raw100,9500,0.001,0.9994805844224834,5376,1,33,18642,0.9938990571270105,5.36394357131363e-05,0.9488433688532452,0.9708487517984961
raw100,9500,0.01,0.9994805844224834,5376,1,33,18642,0.9938990571270105,5.36394357131363e-05,0.9946854940100939,0.9942921200602107
raw100,9500,0.1,0.9994805844224834,5376,1,33,18642,0.9938990571270105,5.36394357131363e-05,0.9995145175469131,0.9966988779407061
raw100,10000,0.001,0.9994805844224834,5579,0,29,18653,0.9948288159771754,0.0,1.0,0.9974077053723073
raw100,10000,0.01,0.9994805844224834,5579,0,29,18653,0.9948288159771754,0.0,1.0,0.997407705372307
raw100,10000,0.1,0.9994805844224834,5579,0,29,18653,0.9948288159771754,0.0,1.0,0.9974077053723072
raw100,50000,0.001,0.9994805844224834,5308,0,17,18658,0.9968075117370891,0.0,1.0,0.998401203799492
raw100,50000,0.01,0.9994805844224834,5308,0,17,18658,0.9968075117370891,0.0,1.0,0.9984012037994922
raw100,50000,0.1,0.9994805844224834,5308,0,17,18658,0.9968075117370891,0.0,1.0,0.9984012037994922
raw100,100000,0.001,0.9994805844224834,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073049
raw100,100000,0.01,0.9994805844224834,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073047
raw100,100000,0.1,0.9994805844224834,5338,0,2,18659,0.999625468164794,0.0,1.0,0.9998126990073049
raw100,Fungi,0.001,0.9994805844224834,23438,64,325,391607,0.98632327568068,0.0001634024474622834,0.8579989600598084,0.9176968410588351
raw100,Fungi,0.01,0.9994805844224834,23438,64,325,391607,0.98632327568068,0.0001634024474622834,0.983863500852877,0.9850918527544412
raw100,Fungi,0.1,0.9994805844224834,23438,64,325,391607,0.98632327568068,0.0001634024474622834,0.9985112055960529,0.9923798204814154
raw100,Metazoa,0.001,0.9994805844224834,54523,64,475,391607,0.9913633223026291,0.0001634024474622834,0.8586188200929441,0.9202285649921645
raw100,Metazoa,0.01,0.9994805844224834,54523,64,475,391607,0.9913633223026291,0.0001634024474622834,0.9839442209183136,0.9876398388268043
raw100,Metazoa,0.1,0.9994805844224834,54523,64,475,391607,0.9913633223026291,0.0001634024474622834,0.9985187633485343,0.9949281776571048
raw100,Viridiplantae,0.001,0.9994805844224834,30264,64,214,391607,0.9929785418990748,0.0001634024474622834,0.858816327599264,0.9210374202728615
raw100,Viridiplantae,0.01,0.9994805844224834,30264,64,214,391607,0.9929785418990748,0.0001634024474622834,0.9839699192492297,0.9884537051827111
raw100,Viridiplantae,0.1,0.9994805844224834,30264,64,214,391607,0.9929785418990748,0.0001634024474622834,0.9985211692256301,0.9957421426017355
raw100,Other_Eukaryota,0.001,0.9994805844224834,2622,64,76,391607,0.971830985915493,0.0001634024474622834,0.8561859263599544,0.9103504539305787
raw100,Other_Eukaryota,0.01,0.9994805844224834,2622,64,76,391607,0.971830985915493,0.0001634024474622834,0.983626807564871,0.9776933190333023
raw100,Other_Eukaryota,0.1,0.9994805844224834,2622,64,76,391607,0.971830985915493,0.0001634024474622834,0.9984890377092163,0.9849796726499557
raw100,fungi_bacteria_only,0.001,0.9994805844224834,23438,57,325,374605,0.98632327568068,0.0001521371262631385,0.8664816958337423,0.9225267393939901
raw100,fungi_bacteria_only,0.01,0.9994805844224834,23438,57,325,374605,0.98632327568068,0.0001521371262631385,0.9849592536952286,0.9856407927728561
raw100,fungi_bacteria_only,0.1,0.9994805844224834,23438,57,325,374605,0.98632327568068,0.0001521371262631385,0.9986137040397097,0.9924304396271667
raw100,organelle,0.001,0.9994805844224834,2298,64,52,391607,0.977872340425532,0.0001634024474622834,0.8569473172403522,0.9134250063542746
raw100,organelle,0.01,0.9994805844224834,2298,64,52,391607,0.977872340425532,0.0001634024474622834,0.9837263159812358,0.9807905932285472
raw100,organelle,0.1,0.9994805844224834,2298,64,52,391607,0.977872340425532,0.0001634024474622834,0.9984983585081599,0.9880777197033168
