model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,6000,0.01,0.9983936852318344,11765,1,238,24573,0.9801716237607265,4.06934158053227e-05,0.9959066784681481,0.9879765038128688
v054,6000,0.1,0.9983936852318344,11765,1,238,24573,0.9801716237607265,4.06934158053227e-05,0.9996264899546398,0.9898034683691397
v054,6500,0.001,0.9983936852318344,11790,1,208,24451,0.982663777296216,4.0896450188123673e-05,0.9600832612544254,0.9712422927968869
v054,6500,0.01,0.9983936852318344,11790,1,208,24451,0.982663777296216,4.0896450188123673e-05,0.9958967293284582,0.9892360011858791
v054,6500,0.1,0.9983936852318344,11790,1,208,24451,0.982663777296216,4.0896450188123673e-05,0.9996255787099524,0.9910721097106884
v054,7000,0.001,0.9983936852318344,11746,2,222,24331,0.9814505347593583,8.219290675214729e-05,0.9227964407756364,0.9512201640953974
v054,7000,0.01,0.9983936852318344,11746,2,222,24331,0.9814505347593583,8.219290675214729e-05,0.9917772842939873,0.9865868873666057
v054,7000,0.1,0.9983936852318344,11746,2,222,24331,0.9814505347593583,8.219290675214729e-05,0.9992468504497848,0.9902687437808595
v054,7500,0.001,0.9983936852318344,11733,2,215,24236,0.9820053565450284,8.251505899826719e-05,0.9225576767777962,0.951353737804038
v054,7500,0.01,0.9983936852318344,11733,2,215,24236,0.9820053565450284,8.251505899826719e-05,0.9917499470043885,0.9868535968568951
v054,7500,0.1,0.9983936852318344,11733,2,215,24236,0.9820053565450284,8.251505899826719e-05,0.9992443276028317,0.9905498434189121
v054,8000,0.001,0.9983936852318344,11674,0,246,24164,0.9793624161073825,0.0,1.0,0.9895736204119692
v054,8000,0.01,0.9983936852318344,11674,0,246,24164,0.9793624161073825,0.0,1.0,0.9895736204119692
v054,8000,0.1,0.9983936852318344,11674,0,246,24164,0.9793624161073825,0.0,1.0,0.9895736204119692
v054,8500,0.001,0.9983936852318344,11696,0,222,24103,0.9813727135425407,0.0,1.0,0.9905987973236214
v054,8500,0.01,0.9983936852318344,11696,0,222,24103,0.9813727135425407,0.0,1.0,0.9905987973236218
v054,8500,0.1,0.9983936852318344,11696,0,222,24103,0.9813727135425407,0.0,1.0,0.9905987973236217
v054,9000,0.001,0.9983936852318344,11668,1,228,24027,0.9808338937457969,4.16181122024305e-05,0.95933482818164,0.9699652450809325
v054,9000,0.01,0.9983936852318344,11668,1,228,24027,0.9808338937457969,4.16181122024305e-05,0.9958168678489355,0.9882685954720732
v054,9000,0.1,0.9983936852318344,11668,1,228,24027,0.9808338937457969,4.16181122024305e-05,0.9996182635736137,0.9901369948238439
v054,9500,0.001,0.9983936852318344,11665,0,224,23975,0.9811590545882749,0.0,1.0,0.9904899380147746
v054,9500,0.01,0.9983936852318344,11665,0,224,23975,0.9811590545882749,0.0,1.0,0.9904899380147746
v054,9500,0.1,0.9983936852318344,11665,0,224,23975,0.9811590545882749,0.0,1.0,0.9904899380147745
v054,Fungi,0.001,0.9983936852318344,44373,142,1001,447174,0.9779389077445233,0.0003174489622548713,0.7551241166957964,0.8522081926380226
v054,Fungi,0.01,0.9983936852318344,44373,142,1001,447174,0.9779389077445233,0.0003174489622548713,0.9688641818628968,0.9733803945779205
v054,Fungi,0.1,0.9983936852318344,44373,142,1001,447174,0.9779389077445233,0.0003174489622548713,0.997087018288625,0.9874201414154559
v054,Metazoa,0.001,0.9983936852318344,42729,142,807,447174,0.9814636163175303,0.0003174489622548713,0.7557887704477815,0.8539682379680249
v054,Metazoa,0.01,0.9983936852318344,42729,142,807,447174,0.9814636163175303,0.0003174489622548713,0.9689725298275116,0.9751780750336183
v054,Metazoa,0.1,0.9983936852318344,42729,142,807,447174,0.9814636163175303,0.0003174489622548713,0.9970974492508713,0.98921876649949
v054,Viridiplantae,0.001,0.9983936852318344,76666,142,1675,447174,0.9786191138739613,0.0003174489622548713,0.7552526646380338,0.8525482709607497
v054,Viridiplantae,0.01,0.9983936852318344,76666,142,1675,447174,0.9786191138739613,0.0003174489622548713,0.9688851499797706,0.9737278059074441
v054,Viridiplantae,0.1,0.9983936852318344,76666,142,1675,447174,0.9786191138739613,0.0003174489622548713,0.9970890371130314,0.9877677423819267
v054,Other_Eukaryota,0.001,0.9983936852318344,47954,142,1970,447174,0.9605400208316641,0.0003174489622548713,0.7517894820205263,0.8434403349567897
v054,Other_Eukaryota,0.01,0.9983936852318344,47954,142,1970,447174,0.9605400208316641,0.0003174489622548713,0.9683180665958838,0.9644133613791575
v054,Other_Eukaryota,0.1,0.9983936852318344,47954,142,1970,447174,0.9605400208316641,0.0003174489622548713,0.997034410032485,0.9784470392369471
v054,fungi_bacteria_only,0.001,0.9983936852318344,44373,95,1001,353285,0.9779389077445233,0.0002688324183598393,0.7845462906798393,0.8706323812175668
v054,fungi_bacteria_only,0.01,0.9983936852318344,44373,95,1001,353285,0.9779389077445233,0.0002688324183598393,0.9735062251421264,0.9757175320524721
v054,fungi_bacteria_only,0.1,0.9983936852318344,44373,95,1001,353285,0.9779389077445233,0.0002688324183598393,0.9975320334211973,0.9876383062647774
raw100,overall,0.001,0.9994805844224834,211929,119,5246,447197,0.9758443651433176,0.000266031172593871,0.7859511061922988,0.8706640137682671
raw100,overall,0.01,0.9994805844224834,211929,119,5246,447197,0.9758443651433176,0.000266031172593871,0.973720241923789,0.9747811463778902
raw100,overall,0.1,0.9994805844224834,211929,119,5246,447197,0.9758443651433176,0.000266031172593871,0.9975524576095235,0.9865790128669348
raw100,short_1_2kb,0.001,0.9994805844224834,23328,75,1274,51550,0.9482155922282741,0.0014527845036319612,0.39516436610378514,0.5578481517587026
