model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,3000,0.01,0.9983936852318344,2989,3,33,29917,0.9890800794176042,0.00010026737967914439,0.9900636581530149,0.989571624379835
v054,3000,0.1,0.9983936852318344,2989,3,33,29917,0.9890800794176042,0.00010026737967914439,0.9990884622404694,0.9940590798744898
v054,3500,0.001,0.9983936852318344,3005,4,29,29918,0.9904416611733685,0.0001336809036829089,0.881184569806779,0.9326241475710796
v054,3500,0.01,0.9983936852318344,3005,4,29,29918,0.9904416611733685,0.0001336809036829089,0.9868140629713372,0.9886245343619929
v054,3500,0.1,0.9983936852318344,3005,4,29,29918,0.9904416611733685,0.0001336809036829089,0.9987867347803162,0.9945966936385654
v054,4000,0.001,0.9983936852318344,2993,2,30,29915,0.9900760833608998,6.685162282314403e-05,0.9368083594807303,0.9627059420819282
v054,4000,0.01,0.9983936852318344,2993,2,30,29915,0.9900760833608998,6.685162282314403e-05,0.9933597392548835,0.9917151931972508
v054,4000,0.1,0.9983936852318344,2993,2,30,29915,0.9900760833608998,6.685162282314403e-05,0.999392673746187,0.9947125639721138
v054,4500,0.001,0.9983936852318344,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.967478357060553,0.9802590154040692
v054,4500,0.01,0.9983936852318344,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.996679858393538,0.9950281295861815
v054,4500,0.1,0.9983936852318344,3002,1,20,29916,0.9933818663136995,3.342581141157201e-05,0.9996972551669431,0.9965295550822573
v054,5000,0.001,0.9983936852318344,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.9673383766497596,0.978072471127444
v054,5000,0.01,0.9983936852318344,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.9966651345144697,0.9928416861399104
v054,5000,0.1,0.9983936852318344,2980,1,33,29914,0.9890474610023232,3.342804613070366e-05,0.999695908497446,0.9943431769404318
v054,5500,0.001,0.9983936852318344,3010,0,18,29939,0.9940554821664465,0.0,1.0,0.9970188804239816
v054,5500,0.01,0.9983936852318344,3010,0,18,29939,0.9940554821664465,0.0,1.0,0.9970188804239815
v054,5500,0.1,0.9983936852318344,3010,0,18,29939,0.9940554821664465,0.0,1.0,0.9970188804239815
v054,6000,0.001,0.9983936852318344,3004,2,18,29905,0.9940436796823295,6.687397599224261e-05,0.9370249773400908,0.9646925323365972
v054,6000,0.01,0.9983936852318344,3004,2,18,29905,0.9940436796823295,6.687397599224261e-05,0.9933838708316317,0.9937136657315491
v054,6000,0.1,0.9983936852318344,3004,2,18,29905,0.9940436796823295,6.687397599224261e-05,0.9993948942046003,0.9967121045057318
v054,6500,0.001,0.9983936852318344,2994,2,15,29924,0.9950149551345963,6.683151774376797e-05,0.9371200165973532,0.9652000972111264
v054,6500,0.01,0.9983936852318344,2994,2,15,29924,0.9950149551345963,6.683151774376797e-05,0.993394455206035,0.9942040448384935
v054,6500,0.1,0.9983936852318344,2994,2,15,29924,0.9950149551345963,6.683151774376797e-05,0.9993958680911071,0.9972006000669783
v054,7000,0.001,0.9983936852318344,3005,2,21,29916,0.9930601454064772,6.68493883280968e-05,0.9369882531378109,0.9642096971319489
v054,7000,0.01,0.9983936852318344,3005,2,21,29916,0.9930601454064772,6.68493883280968e-05,0.993379780399572,0.9932199371870369
v054,7000,0.1,0.9983936852318344,3005,2,21,29916,0.9930601454064772,6.68493883280968e-05,0.9993945178318545,0.9962172625634519
v054,7500,0.001,0.9983936852318344,3014,2,16,29916,0.9947194719471947,6.68493883280968e-05,0.937086752304909,0.9650434165904263
v054,7500,0.01,0.9983936852318344,3014,2,16,29916,0.9947194719471947,6.68493883280968e-05,0.9933907508320334,0.9940546673750466
v054,7500,0.1,0.9983936852318344,3014,2,16,29916,0.9947194719471947,6.68493883280968e-05,0.9993955272474239,0.9970520170917417
v054,8000,0.001,0.9983936852318344,2995,0,21,29920,0.9930371352785146,0.0,1.0,0.9965064049243054
v054,8000,0.01,0.9983936852318344,2995,0,21,29920,0.9930371352785146,0.0,1.0,0.9965064049243053
v054,8000,0.1,0.9983936852318344,2995,0,21,29920,0.9930371352785146,0.0,1.0,0.9965064049243053
v054,8500,0.001,0.9983936852318344,3002,1,10,29909,0.9966799468791501,3.3433634236041456e-05,0.9675751438531409,0.9819119192076136
v054,8500,0.01,0.9983936852318344,3002,1,10,29909,0.9966799468791501,3.3433634236041456e-05,0.9966900367027763,0.9966849917654274
v054,8500,0.1,0.9983936852318344,3002,1,10,29909,0.9966799468791501,3.3433634236041456e-05,0.999698186070225,0.9981867849009555
v054,9000,0.001,0.9983936852318344,2999,0,16,29907,0.9946932006633499,0.0,1.0,0.9973395410708348
v054,9000,0.01,0.9983936852318344,2999,0,16,29907,0.9946932006633499,0.0,1.0,0.9973395410708349
v054,9000,0.1,0.9983936852318344,2999,0,16,29907,0.9946932006633499,0.0,1.0,0.9973395410708347
v054,9500,0.001,0.9983936852318344,2997,0,16,29855,0.9946896780617325,0.0,1.0,0.9973377703826953
v054,9500,0.01,0.9983936852318344,2997,0,16,29855,0.9946896780617325,0.0,1.0,0.9973377703826953
v054,9500,0.1,0.9983936852318344,2997,0,16,29855,0.9946896780617325,0.0,1.0,0.9973377703826956
v054,Fungi,0.001,0.9983936852318344,12194,80,145,538354,0.988248642515601,0.0001485790273273976,0.8694174551996396,0.9250323520864708
v054,Fungi,0.01,0.9983936852318344,12194,80,145,538354,0.988248642515601,0.0001485790273273976,0.9853340576566386,0.9867891979581905
v054,Fungi,0.1,0.9983936852318344,12194,80,145,538354,0.988248642515601,0.0001485790273273976,0.9986487162878657,0.9934214606996727
v054,Metazoa,0.001,0.9983936852318344,24546,80,183,538354,0.9925997816329006,0.0001485790273273976,0.8699154111729452,0.9272169703684903
v054,Metazoa,0.01,0.9983936852318344,24546,80,183,538354,0.9925997816329006,0.0001485790273273976,0.9853974081764384,0.9889854820995369
